,Compound,Date_created,Negative,Neutral,News_Media,Positive,Tweets_ago
34,0,2017-12-02 18:36:01+00:00,0,1,@nytimes,0,34
35,0,2017-12-02 18:21:05+00:00,0,1,@nytimes,0,35
36,0,2017-12-02 18:06:05+00:00,0,1,@nytimes,0,36
37,0.5859,2017-12-02 17:56:05+00:00,0,0.847,@nytimes,0.153,37
38,0,2017-12-02 17:46:01+00:00,0,1,@nytimes,0,38
39,0.2263,2017-12-02 17:36:07+00:00,0,0.84,@nytimes,0.16,39
40,0.4215,2017-12-02 17:21:03+00:00,0,0.877,@nytimes,0.123,40
41,0.6249,2017-12-02 17:07:36+00:00,0,0.823,@nytimes,0.177,41
42,-0.2732,2017-12-02 16:51:10+00:00,0.104,0.896,@nytimes,0,42
43,0,2017-12-02 16:48:14+00:00,0,1,@nytimes,0,43
44,0.0772,2017-12-02 16:41:04+00:00,0,0.944,@nytimes,0.056,44
45,-0.296,2017-12-02 16:26:06+00:00,0.196,0.804,@nytimes,0,45
46,-0.0258,2017-12-02 16:11:06+00:00,0.136,0.791,@nytimes,0.073,46
47,0.4215,2017-12-02 15:56:02+00:00,0.097,0.714,@nytimes,0.189,47
48,0,2017-12-02 15:48:27+00:00,0,1,@nytimes,0,48
49,0.4019,2017-12-02 15:41:02+00:00,0,0.876,@nytimes,0.124,49
50,0,2017-12-02 15:26:01+00:00,0,1,@nytimes,0,50
51,0.34,2017-12-02 15:12:04+00:00,0,0.893,@nytimes,0.107,51
52,0.2023,2017-12-02 15:02:01+00:00,0,0.909,@nytimes,0.091,52
53,0,2017-12-02 14:41:01+00:00,0,1,@nytimes,0,53
54,0,2017-12-02 14:21:01+00:00,0,1,@nytimes,0,54
55,0.4404,2017-12-02 14:01:08+00:00,0,0.854,@nytimes,0.146,55
56,-0.6369,2017-12-02 13:41:05+00:00,0.178,0.822,@nytimes,0,56
57,-0.4215,2017-12-02 13:21:02+00:00,0.237,0.763,@nytimes,0,57
58,0,2017-12-02 13:02:06+00:00,0,1,@nytimes,0,58
59,0.6369,2017-12-02 12:41:02+00:00,0,0.588,@nytimes,0.412,59
60,0,2017-12-02 12:21:04+00:00,0,1,@nytimes,0,60
61,0.5859,2017-12-02 12:02:07+00:00,0,0.853,@nytimes,0.147,61
62,0.5859,2017-12-02 11:39:48+00:00,0,0.774,@nytimes,0.226,62
63,0.0772,2017-12-02 11:20:31+00:00,0,0.902,@nytimes,0.098,63
64,0,2017-12-02 11:00:42+00:00,0,1,@nytimes,0,64
65,0.34,2017-12-02 10:42:53+00:00,0,0.833,@nytimes,0.167,65
66,0,2017-12-02 10:39:48+00:00,0,1,@nytimes,0,66
67,0.6249,2017-12-02 10:38:05+00:00,0,0.796,@nytimes,0.204,67
68,-0.5267,2017-12-02 10:36:37+00:00,0.298,0.702,@nytimes,0,68
69,-0.4754,2017-12-02 10:19:21+00:00,0.147,0.853,@nytimes,0,69
70,-0.5574,2017-12-02 10:02:13+00:00,0.286,0.714,@nytimes,0,70
71,-0.2263,2017-12-02 09:48:42+00:00,0.174,0.826,@nytimes,0,71
72,0,2017-12-02 09:30:39+00:00,0,1,@nytimes,0,72
73,0.765,2017-12-02 09:11:02+00:00,0,0.708,@nytimes,0.292,73
74,-0.8555,2017-12-02 08:44:20+00:00,0.344,0.656,@nytimes,0,74
75,0,2017-12-02 08:24:32+00:00,0,1,@nytimes,0,75
76,-0.3818,2017-12-02 08:05:54+00:00,0.206,0.794,@nytimes,0,76
77,0,2017-12-02 08:02:21+00:00,0,1,@nytimes,0,77
78,-0.8481,2017-12-02 07:53:35+00:00,0.38,0.62,@nytimes,0,78
79,-0.4754,2017-12-02 07:34:37+00:00,0.162,0.838,@nytimes,0,79
80,0,2017-12-02 07:34:37+00:00,0,1,@nytimes,0,80
81,0.34,2017-12-02 07:17:19+00:00,0,0.833,@nytimes,0.167,81
82,0,2017-12-02 07:00:22+00:00,0,1,@nytimes,0,82
83,0.5859,2017-12-02 06:56:41+00:00,0,0.808,@nytimes,0.192,83
84,0,2017-12-02 06:45:50+00:00,0,1,@nytimes,0,84
85,0.5574,2017-12-02 06:41:50+00:00,0,0.753,@nytimes,0.247,85
86,-0.5106,2017-12-02 06:22:07+00:00,0.248,0.752,@nytimes,0,86
87,0,2017-12-02 06:06:03+00:00,0,1,@nytimes,0,87
88,0.2023,2017-12-02 05:52:08+00:00,0,0.899,@nytimes,0.101,88
89,0,2017-12-02 05:34:03+00:00,0,1,@nytimes,0,89
90,0,2017-12-02 05:32:05+00:00,0,1,@nytimes,0,90
91,0.2263,2017-12-02 05:19:13+00:00,0,0.913,@nytimes,0.087,91
92,0,2017-12-02 05:14:09+00:00,0,1,@nytimes,0,92
93,0.1531,2017-12-02 05:02:06+00:00,0.139,0.693,@nytimes,0.168,93
94,-0.5106,2017-12-02 04:48:43+00:00,0.292,0.708,@nytimes,0,94
95,0.1027,2017-12-02 04:47:06+00:00,0.089,0.806,@nytimes,0.105,95
96,0.7096,2017-12-02 04:32:07+00:00,0,0.688,@nytimes,0.312,96
97,0.2023,2017-12-02 04:25:14+00:00,0,0.833,@nytimes,0.167,97
98,0.5994,2017-12-02 04:10:55+00:00,0,0.754,@nytimes,0.246,98
99,0.2023,2017-12-02 04:02:28+00:00,0,0.886,@nytimes,0.114,99
